dataset,group,prompt
BUSI,canonical,breast tumor
BUSI,synonyms,breast mass
BUSI,synonyms,breast lesion
BUSI,synonyms,tumor in breast ultrasound
BUSI,lexical_variations,breast tumor
BUSI,lexical_variations,the breast tumor
BUSI,lexical_variations,breast tumor region
BUSI,challenging,abnormal breast region
BUSI,challenging,suspicious mass
BUSI,challenging,hypoechoic lesion
sessile-Kvasir,canonical,sessile polyp
sessile-Kvasir,synonyms,polyp
sessile-Kvasir,synonyms,colorectal polyp
sessile-Kvasir,synonyms,endoscopic polyp
sessile-Kvasir,lexical_variations,sessile polyp
sessile-Kvasir,lexical_variations,the sessile polyp
sessile-Kvasir,lexical_variations,sessile polyp region
sessile-Kvasir,challenging,abnormal tissue
sessile-Kvasir,challenging,suspicious lesion
sessile-Kvasir,challenging,raised lesion
ISIC2018,canonical,skin lesion
ISIC2018,synonyms,lesion
ISIC2018,synonyms,cutaneous lesion
ISIC2018,synonyms,dermoscopic lesion
ISIC2018,lexical_variations,skin lesion
ISIC2018,lexical_variations,the skin lesion
ISIC2018,lexical_variations,skin lesion region
ISIC2018,challenging,abnormal skin region
ISIC2018,challenging,visible lesion
ISIC2018,challenging,pigmented lesion area
